case_id,template,version,section,rule
"AMRT-1.3-001","AMRT","1.3","1. Declaration（公司信息必填）","公司名称、申报范围或种类、矿产申报范围、联系人信息、授权人信息、生效日期。"
"AMRT-1.3-001A","AMRT","1.3","1. Declaration（公司信息必填）","矿产申报范围最多 10 种（模板文字要求）。"
"AMRT-1.3-002","AMRT","1.3","1. Declaration（公司信息必填）","申报范围=User defined → 范围描述必填。"
"AMRT-1.3-012","AMRT","1.3","1. Declaration（公司信息必填）","地址：模板文字要求必填（以 Instructions 为准，模板内部不一致需标注）。"
"AMRT-1.3-013","AMRT","1.3","1. Declaration（公司信息必填）","选择 Other [specify below] → “其他矿产”必填；未选 Other 不得填写。"
"AMRT-1.3-013A","AMRT","1.3","1. Declaration（公司信息必填）","Other 选中槽位数量必须等于 D15:I16 填写数量（对应槽位一一匹配）。"
"AMRT-1.3-003","AMRT","1.3","2. Minerals Scope（矿物范围）","可选填写，不影响 Declaration 必填；但一旦填写：矿种必须从已申报范围中选择，且填写了矿种必须补充对应“纳入原因”（首行与后续行同规则）。"
"AMRT-1.3-014","AMRT","1.3","2. 申报问题（Q1–Q2）","所选矿产均必须回答（每矿种一列/一行）。"
"AMRT-1.3-014A","AMRT","1.3","2. 申报问题（Q1–Q2）","问题区矿种按模板排序输出（1.3 文案字母序 + 公式排序）。"
"AMRT-1.3-014B","AMRT","1.3","2. 申报问题（Q1–Q2）","Other 由 D15:I16 替换并参与问题区排序（对应槽位映射）。"
"AMRT-1.3-015","AMRT","1.3","2. 申报问题（Q1–Q2）","Q2=100% → 需列出该矿产全部冶炼厂（Smelter List）。"
"AMRT-1.3-016","AMRT","1.3","2. 申报问题（Q1–Q2）","Q2=Did not survey → 注释需提供证据/说明（模板文字要求）。"
"AMRT-1.3-004","AMRT","1.3","3. Product List","申报范围=Product → “制造商的产品序号 (*)”必填。"
"AMRT-1.3-005","AMRT","1.3","4. Mine List","条件必填提示：金属已选 → 从该矿厂采购的冶炼厂的名称/矿厂所在国家或地区必填提示（条件格式）。"
"AMRT-1.3-005A","AMRT","1.3","4. Mine List","“从该矿厂采购的冶炼厂的名称”或国家含 “!” → 触发提示。"
"AMRT-1.3-006","AMRT","1.3","5. Smelter List","金属为空 → 触发提示。"
"AMRT-1.3-007","AMRT","1.3","5. Smelter List","金属已填但冶炼厂名称下拉为空 → 触发提示。"
"AMRT-1.3-008","AMRT","1.3","5. Smelter List","冶炼厂名称下拉=Smelter not listed 且名称/国家为空 → 触发提示。"
"AMRT-1.3-009","AMRT","1.3","5. Smelter List","冶炼厂出处识别号出现 “Enter smelter details” → 触发提示。"
"AMRT-1.3-017","AMRT","1.3","5. Smelter List","冶炼厂名称下拉=Smelter not yet identified → 国家列提示（且不自动回填）。"
"AMRT-1.3-010","AMRT","1.3","6. 版本差异要点","新增 Smelter Look-up"
"AMRT-1.3-011","AMRT","1.3","6. 版本差异要点","Product List 增加“请求方”字段"
"AMRT-1.3-018","AMRT","1.3","1. Declaration（公司信息必填）","生效日期格式 DD-MMM-YYYY；DV 范围 31-Dec-2006 – 31-Mar-2026（超出仅提示不阻断；Excel 可自动格式化 YYYY-MM-DD → DD-MMM-YYYY）。"
"AMRT-1.3-019","AMRT","1.3","1. Declaration（公司信息必填）","申报范围下拉错误提示 Required Field / ""Select from dropdown options to declare survey scope""。"
"AMRT-1.3-020","AMRT","1.3","1. Declaration（公司信息必填）","矿产下拉提示 Select Minerals/Metals / ""Please select up to 10 minerals or metals for the Declaration... If mineral or metal doesn't appear on the list, select ""Other"".""。"
"AMRT-1.3-021","AMRT","1.3","1. Declaration（公司信息必填）","Other 自定义校验提示/错误文案（Enter Other Minerals/Metals / ""You must select Other in cell X to enter a mineral/metal in this cell.""）。"
"AMRT-1.3-022","AMRT","1.3","1. Declaration（公司信息必填）","联系人姓名为空错误提示 Blank Field / ""Please enter your contact name.""。"
"AMRT-1.3-023","AMRT","1.3","3. Minerals Scope（矿物范围）","Minerals Scope 下拉提示 Select Minerals/Metals in Scope / ""Select 1 of the entered minerals/metals in scope to provide reasons for inclusion on the AMRT.""。"
