case_id,template,version,section,rule
EMRT-2.1-001,EMRT,2.1,1. Declaration（公司信息必填）,公司名称、申报范围或种类、范围描述（当 申报范围=User defined）、选择贵公司的矿产申报范围、联系人姓名、联系人电邮地址、联系人电话、授权人姓名、授权人电邮地址、授权日期。
EMRT-2.1-002,EMRT,2.1,2. 矿种选择联动,选择矿种后，Questions 1–7 与 C 按字母顺序生成对应矿种行。
EMRT-2.1-003,EMRT,2.1,2. 矿种选择联动,Delete [Mineral] 会移除该矿种行；答案位置不自动重排。
EMRT-2.1-004,EMRT,2.1,3. 申报问题（Q1–Q7）,Q1/Q2：所选矿种均必须回答。
EMRT-2.1-005,EMRT,2.1,3. 申报问题（Q1–Q7）,Q3–Q7：仅当该矿种 Q1=Yes 且 Q2=Yes 时才要求填写。
EMRT-2.1-006,EMRT,2.1,4. 公司层面问题（A–G）,仅当任一矿种在 Q1/Q2 中回答为 Yes 时才要求填写。
EMRT-2.1-007,EMRT,2.1,5. Product List,申报范围=Product → “回复方的产品编号 (*)”必填。
EMRT-2.1-008,EMRT,2.1,5. Product List,2.1 起增加“请求方”字段（可选）。
EMRT-2.1-009,EMRT,2.1,6. Mine List（矿厂清单）,2.0 起新增；条件必填提示：金属已选 → 从该矿厂采购的冶炼厂的名称/矿厂所在国家或地区必填提示（条件格式）。
EMRT-2.1-009A,EMRT,2.1,6. Mine List（矿厂清单）,“从该矿厂采购的冶炼厂的名称”或“矿厂所在国家或地区”包含 “!” → 触发提示（条件格式）。
EMRT-2.1-010,EMRT,2.1,7. Smelter List 校验条款（条件格式）,金属为空 → 触发提示。
EMRT-2.1-011,EMRT,2.1,7. Smelter List 校验条款（条件格式）,金属已填但冶炼厂查找为空 → 触发提示。
EMRT-2.1-012,EMRT,2.1,7. Smelter List 校验条款（条件格式）,冶炼厂查找=Smelter not listed 且冶炼工厂地址（国家）为空 → 触发提示。
EMRT-2.1-013,EMRT,2.1,7. Smelter List 校验条款（条件格式）,冶炼厂查找=Smelter not yet identified → 冶炼工厂地址（国家）触发提示（且不自动回填）。
EMRT-2.1-014,EMRT,2.1,7. Smelter List 校验条款（条件格式）,冶炼厂出处识别号出现 “Enter smelter details” → 触发提示。
EMRT-2.1-015,EMRT,2.1,8. Smelter not yet identified 取值核对,标准冶炼厂名称=Unknown，国家为空（国家不自动回填）。
EMRT-2.1-016,EMRT,2.1,4. 公司层面问题（A–G）,"E 题若回答 “Yes, Using Other Format (Describe)” → 注释必填。"
EMRT-2.1-017,EMRT,2.1,1. Declaration（公司信息必填）,授权日期格式 DD-MMM-YYYY；DV 范围 31-Dec-2006 – 31-Mar-2026（超出仅提示不阻断；Excel 可自动格式化 YYYY-MM-DD → DD-MMM-YYYY）。
EMRT-2.1-018,EMRT,2.1,6. Mine List（矿厂清单）,新增“从该矿厂采购的冶炼厂的名称”下拉（Smelter List 过滤）；2.0 为手动填写。
EMRT-2.1-019,EMRT,2.1,1. Declaration（公司信息必填）,申报范围下拉错误提示 Required Field / "Select from dropdown options to declare survey scope"。
