case_id,template,version,section,rule
"AMRT-1.2-001","AMRT","1.2","1. Declaration（公司信息必填）","公司名称、申报范围或种类、矿产申报范围（自由输入）、联系人信息、授权人信息、生效日期。"
"AMRT-1.2-001A","AMRT","1.2","1. Declaration（公司信息必填）","矿产申报范围最多 10 种（模板文字要求）。"
"AMRT-1.2-002","AMRT","1.2","1. Declaration（公司信息必填）","申报范围=User defined → 范围描述必填。"
"AMRT-1.2-010","AMRT","1.2","1. Declaration（公司信息必填）","地址：模板文字要求必填（以 Instructions 为准，模板内部不一致需标注）。"
"AMRT-1.2-003","AMRT","1.2","2. Minerals Scope（矿物范围）","可选填写，不影响 Declaration 必填；但一旦填写：矿种必须从已申报范围中选择，且填写了矿种必须补充对应“纳入原因”（首行与后续行同规则）。"
"AMRT-1.2-012","AMRT","1.2","2. 申报问题（Q1–Q2）","申报范围内矿种均必须回答（来自 Declaration 申报范围输入）。"
"AMRT-1.2-012A","AMRT","1.2","2. 申报问题（Q1–Q2）","问题区矿种按模板排序输出（Excel 字符串比较逻辑）。"
"AMRT-1.2-013","AMRT","1.2","2. 申报问题（Q1–Q2）","Q2=100% → 需列出该矿产全部冶炼厂（Smelter List）。"
"AMRT-1.2-014","AMRT","1.2","2. 申报问题（Q1–Q2）","Q2=Did not survey → 注释需提供证据/说明（模板文字要求）。"
"AMRT-1.2-004","AMRT","1.2","3. Product List","申报范围=Product → “制造商的产品序号 (*)”必填。"
"AMRT-1.2-005","AMRT","1.2","4. Mine List","条件必填提示：金属已选 → 从该矿厂采购的冶炼厂的名称/矿厂所在国家或地区必填提示（条件格式）。"
"AMRT-1.2-005A","AMRT","1.2","4. Mine List","“从该矿厂采购的冶炼厂的名称”或“矿厂所在国家或地区”包含 “!” → 触发提示（条件格式）。"
"AMRT-1.2-006","AMRT","1.2","5. Smelter List","金属为空 → 触发提示。"
"AMRT-1.2-007","AMRT","1.2","5. Smelter List","金属已选但冶炼厂名称为空 → 触发提示。"
"AMRT-1.2-008","AMRT","1.2","5. Smelter List","冶炼厂名称包含 “!” → 触发提示。"
"AMRT-1.2-009","AMRT","1.2","1. Declaration（公司信息必填）","生效日期格式 DD-MMM-YYYY；DV 范围 31-Dec-2006 – 31-Mar-2026（超出仅提示不阻断；Excel 可自动格式化 YYYY-MM-DD → DD-MMM-YYYY）。"
"AMRT-1.2-015","AMRT","1.2","1. Declaration（公司信息必填）","申报范围下拉错误提示 Required Field / ""Select from dropdown options to declare survey scope""。"
"AMRT-1.2-016","AMRT","1.2","1. Declaration（公司信息必填）","矿产申报范围输入提示 Enter Minerals/Metals / ""Please enter up to 10 minerals or metals for the Declaration.""。"
"AMRT-1.2-017","AMRT","1.2","1. Declaration（公司信息必填）","联系人姓名为空错误提示 Blank Field / ""Please enter your contact name.""。"
"AMRT-1.2-018","AMRT","1.2","3. Minerals Scope（矿物范围）","Minerals Scope 下拉提示 Select Minerals/Metals in Scope / ""Select 1 of the entered minerals/metals in scope to provide reasons for inclusion on the AMRT.""。"
